ELIANA APOLONIO FIGUEIREDO REST E BAR,Restaurante,R,São Joaquim,671, Vila Monteiro,São Carlos, SP,13560-300,16,34135040
Q MASSA MACARRÃO NA CHAPA,Restaurante,R,Marechal Deodoro,3045, Centro,São Carlos, SP,13560-201,16,34130617,30320272,997756393
NOVO SABOR,Restaurante,R,Jesuino de Arruda,2039, Jardim São Carlos,São Carlos, SP,13560-642,16,991463240
ALEXANDRINA PASTA & GRILL,Restaurante,R,Dona Alexandrina,1060, Vila Monteiro,São Carlos, SP,13560-290,16,33726963
CASA DOS SALGADOS PALADAR,Restaurante,R,São Joaquim,2424 fr, Vila Monteiro,São Carlos, SP,13560-300,16,33646666
CANTINA BARONE SÃO CARLOS,Restaurante,Av,Doutor Carlos Botelho,1681, Centro,São Carlos, SP,13560-250,16,34128581,34128586
KALIL COZINHA ÁRABE,Restaurante,Av,Doutor Carlos Botelho,1737, Centro,São Carlos, SP,13560-250,16,33721600
CIDOCA SABOR MARMITAS - MARMITEX,Restaurante,R,Professor Helvídeo Gouvea,420, Vila Boa Vista,São Carlos, SP,13574-010,16,992326743,33751688
ANDRÉ SUSHI,Restaurante,Av,Ercílio Mastro Francisco,60, Parque Fehr,São Carlos, SP,13563-775,16,32011170
JIN JIN WOK,Restaurante,R,9 de Julho,1688, Centro,São Carlos, SP,13560-042,16,33645202
LANCHONETE DONA MARIA,Restaurante,R,Raimundo Corrêa,1285, Vila Marcelino,São Carlos, SP,13570-591,16,33068694
APARECIDA DE MARCHI,Restaurante,R,7 de Setembro,1987, Centro,São Carlos, SP,13560-180,16,991138709
RIBEIRO & RIBEIRO SÃO CARLOS,Restaurante,R,Riskalla Hadad,1565, Parque Sisi,São Carlos, SP,13562-460,,
DANIEL MENDES DA SILVA,Restaurante,R,91,764, Cidade Aracy,São Carlos, SP,13573-222,,
EMÍLIO CARLOS BARACO LITHOLDO,Restaurante,R,Marcus Vinícius de Mello Moraes,700 CASA B, Parque Santa Felícia Jardim,São Carlos, SP,13563-304,16,33745545,33745530,35011514
LUIZ APARECIDO FÉLIX SÃO CARLOS,Restaurante,R,Major José Inácio,1862, Centro,São Carlos, SP,13560-160,,
SAPORE,Restaurante,Av,José Pereira Lopes,250, Vila Prado,São Carlos, SP,13574-380,16,33727346
SABORES DA TERRA,Restaurante,R,São Sebastião,1664, Centro,São Carlos, SP,13560-230,16,31164713
YAKISOBA DELIVERY,Restaurante,R,Professor José Ferraz Camargo,431, Vila Celina,São Carlos, SP,13566-440,16,31169426
ROTISSERIE SAPORE PER TE,Restaurante,Av,Gardenias,425, Cidade Jardim,São Carlos, SP,13566-540,16,33613403
SÉRGIO BAR,Restaurante,R,Caetano Scalise,114, Jardim Maracanã,São Carlos, SP,13571-340,16,33683192
SABOR DE MINAS,Restaurante,Av,Regit Arab,459, Cidade Aracy,São Carlos, SP,13573-050,16,33661818,33662357
LA CABANHA GRILL,Restaurante,R,Episcopal,1661, Núcleo Residencial Sílvio Vilari,São Carlos, SP,13560-570,16,33643067
